,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DealerID,DealerName,Dealer Legal Name,Unit Volume,Dealer Group,Membership Type,Expiry Date,Status,Reason,Member Since,Autotrader ID,Aeroplan ID,Finance ID,Street,Town,Region,City Area,Postal Code,Province,Phone,Toll Free,Fax,Website,Website Email Contact,Billing Address,Billing Address 2,Billing City,Billing Postal Code,Billing Province,Billing Country,Billing Phone,Notes,
265,1000 ISLANDS TOYOTA,1000 ISLANDS TOYOTA,150-299 units - B,,Dealer,2013-01-01,Inactive,,1995-05-05,,0,ISLA01,555 Stewart Boulevard,Brockville,Brockville ,Leeds & Grenville County,K6V 7C2,Ontario,613-342-9111,,613-342-8446,www.thousandislandstoyota.com,walker@1000islandstoyota.com,,,,,Ontario,,,Updated Aug 2017,
1904,400 INFINITI,400 INFINITI,149 or less units - A,Zanchin Group,Dealer,2014-12-31,Active,Active,2014-08-13,,0,400I01,2474 Doral Drive,Innisfil,Barrie ,Simcoe County,L9S 0A3,Ontario,1 (888) 451-8966,,705-436-5400,www.400infiniti.com,edwong@zanchinauto.com,,,,,Ontario,,,Updated Aug. 2017,
267,401 AUTO DEALERS EXCHANGE,401 AUTO DEALERS EXCHANGE, N/A,,Associate,2013-12-31,Inactive,Cancelled Membership,2013-03-19,,0,,60 Rigney Street,Kingston,Kingston,Frontenac County,K7K 6Z2,Ontario,613-536-0401,,613-536-1044,,tsimmons@401ade.com,,,,,Ontario,,,,
268,401 DIXIE HYUNDAI,401 DIXIE HYUNDAI/DIXIE MOTORS LP,149 or less units - A,Auto Canada Inc,Dealer,2013-12-31,Active,Active,2013-09-27,,0,401D05,5515 Ambler Drive,Mississauga,Mississauga ,Peel Region,L4W 4N3,Ontario,905-238-8080,,,www.401dixiehyundai.ca,dfraser@dixiehyundai.com,,,,,Ontario,,,updated Aug 2017,
271,401 DIXIE INFINITI NISSAN,401 DIXIE INFINITI NISSAN LTD.,500-999 units - A2,Dilawri Group ,Dealer,2013-01-01,Active,Active,2005-12-09,,0,401D01,"5500 Dixie Road, Unit B",Mississauga,Mississauga ,Peel Region,L4W 4N3,Ontario,905-238-5500,,,www.401dixieinfiniti.ca,s_iqbal@401dixienissan.com,,,,,Ontario,,,updated Aug 2017,
239,401 DIXIE KIA,401 DIXIE KIA,500-999 units - A2,,Dealer,2013-04-26,Active,,2002-04-26,ON20070809180017101,0,DIXI04,"5500 Dixie Rd. Unit ""C""	""Mississauga",Mississauga ,Peel Region,L4W 4N3,Ontario,905-602-0884,,905-238-4870,www.401dixiekia.com,elevitt@401dixiekia.com,,,,,Ontario,,,updated May 2018 - BT,,
135,401 DIXIE MAZDA,401 DIXIE MAZDA,0-499 Units - A1,Dilawri Group ,Dealer,2013-02-18,Active,Active,1997-02-18,ON20080721120343642,0,ONTA02,"5500 Dixie Road, Unit F",Mississauga,Mississauga ,Peel Region,L4W 4N3,Ontario,905-238-9888,,905-238-9515,www.401dixiemazda.com,t_baig@401dixiemazda.com,,,,,Ontario,,,updated Aug. 2017,
269,401 DIXIE VOLKSWAGEN,401 DIXIE VOLKSWAGEN / 2248085 ONTARIO INC.,500-999 units - A2,Dilawri Group ,Dealer,2014-08-23,Active,Active,2010-08-23,,0,401D03,5500-G Dixie Road,Mississauga,Mississauga ,Peel Region,L4W 4N3,Ontario,905-238-7188,,905-238-9488,www.401dixievw.com,t_zamrij@401dixievw.com,,,,,Ontario,,,Updated Aug. 2017,
273,417 NISSAN INFINITI ,OTWA N MOTORS LTD,0-499 Units - A1,Auto Canada Inc,Dealer,2013-01-01,Active,Active,2013-11-12,,0,417I01,1599 Star Top Road,Ottawa ,,,K1B 5P5,Ontario,613-749-9417,,613-749-8317,www.417infiniti.com,chris.edwards@bell.net,,,,,Ontario,,,updated Aug.2017,
240,427 QEW KIA,427 QEW KIA,500-999 units - D,427 QEW Kia,Dealer,2013-01-26,Active,Active,2011-11-03,ON200708082324071676529888,0,427Q01,"1581 The Queensway, Unit 1-3",Toronto,Toronto,Toronto,M8Z 1T8,Ontario,416-253-5001,,416-253-4002,www.qewkia.com,routescar@hotmail.com,,,,,Ontario,,,Updated Aug. 2017,
275,A & B FORD SALES ,A & B FORD SALES LTD,149 or less units - A,,Dealer,2013-02-20,Active,Active,2008-02-20,,0,A&BF01,31 Dufferin Street,Perth,Perth ,Lanark County,K7H 3A5,Ontario,613-267-2643,,613-267-6682,www.abford.com,bhasler@abford.com,,,,,Ontario,,,"updated: address and people jk
June 17th 2013",
1972,A & R SOLUTIONS,A & R SOLUTIONS, N/A,,Associate,2016-12-31,Active,Active,2016-01-04,,0,A&RS01,"1860 Appleby Line, Suite 352",Burlington,,,L7L 7H7,Ontario,416-855-7772,,866-201-4525,,alfredo@anrsolutions.ca,,,,,Ontario,,,,
3,A Demonstration Dealership,A Demonstration Dealership,149 or less units - A,Demo Franchise,Dealer,2013-12-31,Active,Active,2012-08-27,,0,testing 123,56 fff,Summerhill,Toronto,Toronto,qwewe,Ontario,905.254-9999,454654654,,65464654,sdfdsf@add.com,fadf,sdf,dsfsdf,asdsad,New Brunswick,asd,fg,,
276,A&D BRENNEN MOTOR SALES,A&D BRENNEN MOTOR SALES LIMITED,149 or less units - A,,Dealer,2013-12-31,Inactive,Cancelled Membership,2013-07-04,,0,A&DB01,"Highway 11 &17 West, Box 837",Nipigon,Nipigon ,Thunder Bay District,P0T 2J0,Ontario,807-887-2034,,807-887-2355,,brianrichardsr@hotmail.com,,,,,Ontario,,,,
1990,ACCU-TRADE INNOVATIVE DEALER TOOLS,, N/A,,Associate,2016-12-31,Active,Active,2016-08-15,,0,,2852 MAINSTREET,HILLSBOROUGH,,,E4H 2Y7,New Brunswick,5192399519,,,https://www.accu-trade.com/website/,kevin@accu-trade.com ,11 PADDISON COURT,,GUELPH ,N1G 0C4,Ontario,CANADA,,"Mail to: Accu-Trade  2852 Main Street Hillsborough, NB",
278,ACHILLES MAZDA OF MILTON,"Pantheon Auto Group Inc, O/A Achilles Mazda of Milton",300-499 units - C,,Dealer,2013-01-01,Active,Active,1979-01-01,,0,ACHI01,1195 Steeles Avenue East,Milton,Milton ,Halton Region,L9T 2X8,Ontario,289-627-1800,1-866-620-3248,289-627-1802,www.achillesmazda.ca,info@achillesmazda.ca,,,,,Ontario,,,updated Aug. 2017,
280,ACTION HONDA,ACTION HONDA/CHEVALIER AUTOMOBILES INC.,500-999 units - D,The Chevalier Group,Dealer,2014-01-01,Active,Active,1988-01-01,,0,ACTI01,4334 Kingston Road,Scarborough,Toronto,Toronto,M1E 2M8,Ontario,416-281-1234,,416-281-9979,www.myactionhonda.com,philip@myactionhonda.com,,,,,Ontario,,,updated Aug. 2017,
2137,Acura de Laval,Laval Autos Hamel Inc.,,,Other,2018-03-21,Active,,2018-03-21,,0,,"2500, boul. Chomedey",,,,H7T2W1,Quebec,4506824050,,,www.acuralaval.com,VANGERS@GROUPEHAMEL.COM,,,,,,,,,
227,ACURA DOWNTOWN,ACURA DOWNTOWN,0-499 Units - A1,AWIN Group,Dealer,2013-12-31,Active,Active,2012-10-24,ON20071205094210920,0,DOWN02,380 Front Street East,Toronto,Toronto,Toronto,M5A 0K8,Ontario,416-867-1577,,416-867-9795,www.downtownacura.com,angustai@downtownacura.com,,,,,Ontario,,,Updated Aug. 2017,
283,ACURA OF BARRIE,BARRIE FINE CARS,0-499 Units - A1,,Dealer,2013-12-31,Active,,2012-12-18,,0,ACUR09,125 Mapleview Drive,Barrie,Barrie ,Simcoe County,L4N 9H7,Ontario,705-727-0000,1-888-700-4780,705-734-0567,www.acuraofbarrie.com,thoogaars@acuraofbarrie.com,,,,,Ontario,,,Updated Aug. 2017,
284,ACURA OF HAMILTON,ACURA OF HAMILTON / STERLING CARS INC.,0-499 Units - A1,Autopoint Group,Dealer,2013-12-31,Active,Active,2002-02-19,,0,ACUR10,1515 Upper James Street,Hamilton,Hamilton,Hamilton,L9B 1K2,Ontario,905-528-7335,,905-528-0894,www.acuraofhamilton.ca,liaquinto@acuraofhamilton.ca,,,,,Ontario,,,updated Aug. 2017,
71,ACURA OF NORTH TORONTO,ACURA OF NORTH TORONTO,500-999 units - A2,Dilawri Group ,Dealer,2013-12-31,Active,Active,1997-02-18,ON200711211026217496985800,0,ACUR05,7064 Yonge Street,Thornhill,Vaughan ,York Region,L4J 1V7,Ontario,905-882-9660,,905 882-9661,www.acuraofnorthtoronto.com,g_miller@acuraofnorthtoronto.com ,,,,,Ontario,,,updated Aug. 2017,
152,ACURA OF OAKVILLE,ACURA OF OAKVILLE,0-499 Units - A1,Zanchin Group,Dealer,2013-12-31,Active,Active,2009-05-04,,0,ACUR08,1525 North Service Road West,Oakville,Oakville ,Halton Region,L6M 2W2,Ontario,905-825-8777,,905-825-8737,www.acuraofoakville.com,carmen@acuraofoakville.com,,,,,Ontario,,,updated Aug. 2017,
285,ACURA ON BRANT,ACURA ON BRANT,0-499 Units - A1,Leggat Auto Group ,Dealer,2013-12-31,Inactive,Active,2013-09-08,,0,ACUR11,629 Brant Street,Burlington,Burlington ,Halton Region,L7R 2H1,Ontario,905-333-4144,,905-333-3820,www.acuraonbrant.com,reception@acuraonbrant.com,,,,,Ontario,,,"updated email jk 
June 17th 2013",
281,ACURA PICKERING,PICKERING AUTOMOBILES INC.,500-999 units - A2,Drive Auto Group,Dealer,2013-12-31,Active,Active,1999-01-29,,0,ACUR06,575 Kingston Road,Pickering,Ajax ,Durham Region,L1V 3N7,Ontario,905-428-8888,1-888-351-9503,905-428-8904,www.acuraeast.com,adam@driveautogroup.ca,,,,,Ontario,,,Updated Aug. 2017,
2138,Acura Plus,Autos Plus J.F. Hamel Inc.,,,Other,2018-03-21,Active,,2018-03-21,,0,,"255, boul. de la Seigneurie O.",,,,J7C4N3,Quebec,4504354455,,,www.acuraplus.com,VANGERS@GROUPEHAMEL.COM,,,,,,,,,
124,ACURA SHERWAY,ACURA SHERWAY,500-999 units - D,LEEDER AUTOMOTIVE INC,Dealer,2013-12-31,Active,Active,1994-01-01,ON20070924095137494,0,ACUR02,2000 The Queensway,Etobicoke,Toronto,Toronto,M9C 5H5,Ontario,416-620-1987,1-877-524-3201,416-620-1373,www.acurasherway.com,akhan@acurasherway.com,,,,,Ontario,,,Updated Aug. 2017,
286,ACURA WEST,ACURA WEST,150-299 units - B,,Dealer,2013-12-31,Active,Active,2006-06-04,,4356,ACUR12,759 Wonderland Road North,London,London,Middlesex County,N6H 4L1,Ontario,519-657-1557,,519 657-9569,www.acurawest.ca,sales@acurawest.ca,,,,,Ontario,,,Updated Aug. 2017,
1841,ADANL,, N/A,,Associate,2013-12-31,Active,,2013-04-18,,0,,20 Whiteford Place,St. John's,Toronto,Toronto,A1B 2A4,Newfoundland and Labrador,,,,https://www.adanl.net/,marian.templeton@adanl.ca,,,,,Ontario,,,,
288,ADDISON ON EGLINTON,ADDISON CHEVROLET LIMITED EAST ,500-999 units - D,Addison Chevrolet,Dealer,2013-12-31,Active,Active,2007-03-27,,0,HERR01,1220 Eglinton Avenue East,Mississauga,Mississauga ,Peel Region,L4W 2M7,Ontario,905-238-2886,1-877-252-9186,905-238-3598,www.addisongm.com,rsultana@addisonchevrolet.com,,,,,Ontario,,,updated Aug. 2017,
